tissue	cpg_set	state_group	n	pct
Blood_PBMC	concordant	Active promoter	130	5.5
Blood_PBMC	concordant	Enhancer	243	10.4
Blood_PBMC	concordant	Tran- scription	623	26.6
Blood_PBMC	concordant	Bivalent	36	1.5
Blood_PBMC	concordant	Polycomb repressed	469	20.0
Blood_PBMC	concordant	Quiescent	831	35.5
Blood_PBMC	concordant	Hetero- chromatin	12	0.5
Blood_PBMC	concordant	Other	0	0.0
Blood_PBMC	discordant	Active promoter	117	6.0
Blood_PBMC	discordant	Enhancer	213	10.9
Blood_PBMC	discordant	Tran- scription	491	25.2
Blood_PBMC	discordant	Bivalent	27	1.4
Blood_PBMC	discordant	Polycomb repressed	405	20.8
Blood_PBMC	discordant	Quiescent	687	35.3
Blood_PBMC	discordant	Hetero- chromatin	6	0.3
Blood_PBMC	discordant	Other	1	0.1
Neutrophil_CD15	concordant	Active promoter	237	10.1
Neutrophil_CD15	concordant	Enhancer	375	16.0
Neutrophil_CD15	concordant	Tran- scription	377	16.1
Neutrophil_CD15	concordant	Bivalent	43	1.8
Neutrophil_CD15	concordant	Polycomb repressed	502	21.4
Neutrophil_CD15	concordant	Quiescent	786	33.5
Neutrophil_CD15	concordant	Hetero- chromatin	24	1.0
Neutrophil_CD15	concordant	Other	0	0.0
Neutrophil_CD15	discordant	Active promoter	222	11.4
Neutrophil_CD15	discordant	Enhancer	312	16.0
Neutrophil_CD15	discordant	Tran- scription	294	15.1
Neutrophil_CD15	discordant	Bivalent	49	2.5
Neutrophil_CD15	discordant	Polycomb repressed	401	20.6
Neutrophil_CD15	discordant	Quiescent	644	33.1
Neutrophil_CD15	discordant	Hetero- chromatin	24	1.2
Neutrophil_CD15	discordant	Other	1	0.1
Monocyte_CD14	concordant	Active promoter	142	6.1
Monocyte_CD14	concordant	Enhancer	565	24.1
Monocyte_CD14	concordant	Tran- scription	421	18.0
Monocyte_CD14	concordant	Bivalent	74	3.2
Monocyte_CD14	concordant	Polycomb repressed	378	16.1
Monocyte_CD14	concordant	Quiescent	703	30.0
Monocyte_CD14	concordant	Hetero- chromatin	56	2.4
Monocyte_CD14	concordant	Other	5	0.2
Monocyte_CD14	discordant	Active promoter	129	6.6
Monocyte_CD14	discordant	Enhancer	510	26.2
Monocyte_CD14	discordant	Tran- scription	320	16.4
Monocyte_CD14	discordant	Bivalent	69	3.5
Monocyte_CD14	discordant	Polycomb repressed	311	16.0
Monocyte_CD14	discordant	Quiescent	544	27.9
Monocyte_CD14	discordant	Hetero- chromatin	58	3.0
Monocyte_CD14	discordant	Other	6	0.3
T_cell	concordant	Active promoter	174	7.4
T_cell	concordant	Enhancer	376	16.0
T_cell	concordant	Tran- scription	415	17.7
T_cell	concordant	Bivalent	121	5.2
T_cell	concordant	Polycomb repressed	860	36.7
T_cell	concordant	Quiescent	391	16.7
T_cell	concordant	Hetero- chromatin	5	0.2
T_cell	concordant	Other	2	0.1
T_cell	discordant	Active promoter	143	7.3
T_cell	discordant	Enhancer	334	17.2
T_cell	discordant	Tran- scription	326	16.7
T_cell	discordant	Bivalent	110	5.6
T_cell	discordant	Polycomb repressed	696	35.7
T_cell	discordant	Quiescent	334	17.2
T_cell	discordant	Hetero- chromatin	3	0.2
T_cell	discordant	Other	1	0.1
Brain_AG	concordant	Active promoter	257	11.0
Brain_AG	concordant	Enhancer	306	13.1
Brain_AG	concordant	Tran- scription	580	24.7
Brain_AG	concordant	Bivalent	26	1.1
Brain_AG	concordant	Polycomb repressed	272	11.6
Brain_AG	concordant	Quiescent	897	38.3
Brain_AG	concordant	Hetero- chromatin	6	0.3
Brain_AG	concordant	Other	0	0.0
Brain_AG	discordant	Active promoter	208	10.7
Brain_AG	discordant	Enhancer	276	14.2
Brain_AG	discordant	Tran- scription	492	25.3
Brain_AG	discordant	Bivalent	15	0.8
Brain_AG	discordant	Polycomb repressed	233	12.0
Brain_AG	discordant	Quiescent	717	36.8
Brain_AG	discordant	Hetero- chromatin	4	0.2
Brain_AG	discordant	Other	2	0.1
Liver	concordant	Active promoter	222	9.5
Liver	concordant	Enhancer	409	17.4
Liver	concordant	Tran- scription	552	23.5
Liver	concordant	Bivalent	29	1.2
Liver	concordant	Polycomb repressed	349	14.9
Liver	concordant	Quiescent	751	32.0
Liver	concordant	Hetero- chromatin	28	1.2
Liver	concordant	Other	4	0.2
Liver	discordant	Active promoter	172	8.8
Liver	discordant	Enhancer	365	18.7
Liver	discordant	Tran- scription	429	22.0
Liver	discordant	Bivalent	26	1.3
Liver	discordant	Polycomb repressed	315	16.2
Liver	discordant	Quiescent	617	31.7
Liver	discordant	Hetero- chromatin	20	1.0
Liver	discordant	Other	3	0.2
Colon	concordant	Active promoter	228	9.7
Colon	concordant	Enhancer	201	8.6
Colon	concordant	Tran- scription	577	24.6
Colon	concordant	Bivalent	58	2.5
Colon	concordant	Polycomb repressed	302	12.9
Colon	concordant	Quiescent	971	41.4
Colon	concordant	Hetero- chromatin	7	0.3
Colon	concordant	Other	0	0.0
Colon	discordant	Active promoter	221	11.4
Colon	discordant	Enhancer	203	10.4
Colon	discordant	Tran- scription	456	23.4
Colon	discordant	Bivalent	46	2.4
Colon	discordant	Polycomb repressed	238	12.2
Colon	discordant	Quiescent	772	39.7
Colon	discordant	Hetero- chromatin	9	0.5
Colon	discordant	Other	2	0.1
