sample	age	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Basal-Ep:Breast-Luminal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Ep:Gastric-Ep:Small-Int-Ep	Colon-Ep:Small-Int-Ep	Colon-Fibro	Colon-Fibro:Heart-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Fallopian-Ep:Ovary-Ep	Gallbladder	Gastric-Ep	Gastric-Ep:Small-Int-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Cardio:Heart-Fibro	Heart-Cardio:Skeletal-Musc:Smooth-Musc	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Alveo:Lung-Ep-Bron	Lung-Ep-Bron	Neuron	Neuron:Oligodend	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Alpha:Pancreas-Beta:Pancreas-Delta	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Prostate-Ep	Skeletal-Musc	Skeletal-Musc:Smooth-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Old1	81.0	0.0	0.0	0.0	0.3295	0.0839	0.1086	0.0	0.0	0.0	0.0134	0.0	0.0	0.0803	0.0	0.0	0.0	0.0	0.0722	0.0	0.1731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175	0.0	0.0	0.0	0.0	0.0	0.0218	0.0	0.0114	0.0	0.0794	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0
Old2	81.0	0.0	0.0	0.0	0.175	0.1191	0.0	0.0332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2479	0.0	0.2662	0.0	0.0	0.0	0.0207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083	0.0572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0724
Old3	81.0	0.0	0.0	0.0	0.1339	0.2597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.249	0.1316	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0745	0.0	0.0	0.1365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Old4	81.0	0.0	0.0	0.0	0.2304	0.1447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0685	0.0	0.139	0.0	0.0	0.0523	0.0996	0.0	0.0	0.0	0.0	0.0	0.0161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1472	0.1021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Old5	81.0	0.0	0.0	0.0	0.1975	0.0	0.0	0.0761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0642	0.0	0.1401	0.0	0.0	0.0697	0.111	0.1919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106	0.0859	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Old6	81.0	0.0	0.0	0.0	0.35	0.2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1716	0.0	0.0556	0.0	0.0	0.1248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0413
Old7	81.0	0.0	0.0	0.0	0.1346	0.3977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2578	0.0	0.0609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Old8	81.0	0.0	0.0	0.0	0.4554	0.0	0.0	0.0	0.0	0.0917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3069	0.0	0.0	0.0	0.0	0.0675	0.0063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Old9	81.0	0.0	0.0	0.0	0.2337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0865	0.2868	0.0	0.0	0.0	0.0	0.0	0.186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1042	0.0	0.0	0.1028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Old10	81.0	0.0	0.0	0.0137	0.2311	0.0	0.0	0.0	0.0471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1371	0.0	0.0	0.0	0.0	0.1687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1918	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1231
