Description	N	DE	P.DE	FDR
hsa04215	Apoptosis - multiple species	4	4	0.0604345374174889	1
hsa05414	Dilated cardiomyopathy	20	14	0.0638026316927803	1
hsa05200	Pathways in cancer	87	52	0.0679836154865507	1
hsa05410	Hypertrophic cardiomyopathy	17	12	0.0796454674598949	1
hsa00564	Glycerophospholipid metabolism	20	14	0.0836568136005097	1
hsa01040	Biosynthesis of unsaturated fatty acids	6	5	0.100445085975017	1
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	16	11	0.107402240835802	1
hsa00513	Various types of N-glycan biosynthesis	6	5	0.128407757550848	1
hsa04979	Cholesterol metabolism	11	8	0.137366521485485	1
hsa04115	p53 signaling pathway	9	7	0.140924758474482	1
hsa00100	Steroid biosynthesis	3	3	0.143836577555748	1
hsa04371	Apelin signaling pathway	34	21	0.144209153202868	1
hsa01230	Biosynthesis of amino acids	5	4	0.154412518982339	1
hsa04330	Notch signaling pathway	8	6	0.158966924878344	1
hsa04066	HIF-1 signaling pathway	22	14	0.163364155342533	1
hsa04350	TGF-beta signaling pathway	21	13	0.173366988295766	1
hsa00600	Sphingolipid metabolism	5	4	0.175989145112934	1
hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	5	4	0.191407003611872	1
hsa05166	Human T-cell leukemia virus 1 infection	37	22	0.208615333419438	1
hsa00030	Pentose phosphate pathway	2	2	0.228457766925255	1
