Description	N	DE	P.DE	FDR
hsa04010	MAPK signaling pathway	4	4	0.132054960647185	0.929574074387631
hsa04151	PI3K-Akt signaling pathway	3	3	0.198896210254829	0.929574074387631
hsa04022	cGMP-PKG signaling pathway	3	3	0.201027626440789	0.929574074387631
hsa04072	Phospholipase D signaling pathway	3	3	0.214476507477253	0.929574074387631
hsa05231	Choline metabolism in cancer	3	3	0.214476507477253	0.929574074387631
hsa04517	IgSF CAM signaling	3	3	0.228926484760917	0.929574074387631
hsa04659	Th17 cell differentiation	3	3	0.234627355701835	0.929574074387631
hsa04510	Focal adhesion	2	2	0.334088516912147	0.929574074387631
hsa05165	Human papillomavirus infection	2	2	0.338390358697537	0.929574074387631
hsa04360	Axon guidance	2	2	0.344792048272645	0.929574074387631
hsa05135	Yersinia infection	2	2	0.354070806420721	0.929574074387631
hsa03040	Spliceosome	2	2	0.356097546063393	0.929574074387631
hsa05200	Pathways in cancer	5	4	0.35738041850977	0.929574074387631
hsa04014	Ras signaling pathway	2	2	0.358652228912016	0.929574074387631
hsa04750	Inflammatory mediator regulation of TRP channels	2	2	0.358652228912016	0.929574074387631
hsa05417	Lipid and atherosclerosis	2	2	0.361132079214034	0.929574074387631
hsa04916	Melanogenesis	2	2	0.361386401808427	0.929574074387631
hsa05010	Alzheimer disease	2	2	0.36306882011702	0.929574074387631
hsa04666	Fc gamma R-mediated phagocytosis	2	2	0.367323398995071	0.929574074387631
hsa04530	Tight junction	2	2	0.370909427218475	0.929574074387631
