Description	N	DE	P.DE	FDR
hsa05020	Prion disease	2	2	0.196240400959591	1
hsa04340	Hedgehog signaling pathway	3	2	0.358405856174315	1
hsa00513	Various types of N-glycan biosynthesis	1	1	0.381214557588856	1
hsa04724	Glutamatergic synapse	3	2	0.390953122628025	1
hsa04950	Maturity onset diabetes of the young	1	1	0.393428295584026	1
hsa04936	Alcoholic liver disease	1	1	0.406242959639609	1
hsa04260	Cardiac muscle contraction	1	1	0.411140051665394	1
hsa04371	Apelin signaling pathway	1	1	0.411140051665394	1
hsa04911	Insulin secretion	1	1	0.411140051665394	1
hsa05410	Hypertrophic cardiomyopathy	1	1	0.411140051665394	1
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	1	1	0.411140051665394	1
hsa05414	Dilated cardiomyopathy	1	1	0.411140051665394	1
hsa05415	Diabetic cardiomyopathy	1	1	0.411140051665394	1
hsa04062	Chemokine signaling pathway	1	1	0.41900572867326	1
hsa04740	Olfactory transduction	1	1	0.41900572867326	1
hsa05032	Morphine addiction	1	1	0.41900572867326	1
hsa03250	Viral life cycle - HIV-1	1	1	0.421296377794736	1
hsa00830	Retinol metabolism	1	1	0.422887899458487	1
hsa04977	Vitamin digestion and absorption	1	1	0.422887899458487	1
hsa04814	Motor proteins	3	2	0.452192358102179	1
