chrom	position	cpg_set	tissue	state_raw	state_group	input_set
chr1	1085580	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	1846615	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	2071402	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	2382583	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	3807168	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	4856487	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	5875339	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	6086035	concordant	Blood_PBMC	1_TssA	Active promoter	ALL
chr1	6105324	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	6232270	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	6928587	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	9139306	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	9748229	concordant	Blood_PBMC	3_TxFlnk	Tran- scription	ALL
chr1	9788715	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr1	11436051	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	11459406	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	11504852	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	12185435	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	12201600	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	12806027	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	14029875	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	15359950	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	15500722	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	15734285	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	15739283	concordant	Blood_PBMC	3_TxFlnk	Tran- scription	ALL
chr1	15946777	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	16292047	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	17528238	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	17721457	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	17880592	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	19640712	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	20306195	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	20306299	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	22269666	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	22920119	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	23704878	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	23797190	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	24678611	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	24866714	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	25226129	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	25238271	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr1	26063314	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	26092973	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr1	26910914	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	27066030	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr1	27440721	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	27442542	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	27677072	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	28453832	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	29189655	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	29581136	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	30229976	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
