chrom	position	beta	pval	mean_young	mean_mid	mean_old	direction	cpg	cpg_beta	cpg_p	direction_scot	concordant
chr1	1003126	0.8377971553285716	0.0204592163533914	13.636363636363637	70.0	57.142857142857146	hyper	cg10955566	-0.304349455545716	7.72220983466695e-16	hypo	False
chr1	1041884	0.7185244532999903	0.0186782342266572	56.81818181818182	60.0	97.61904761904762	hyper	cg24165743	-0.421920722098202	6.544281753696761e-17	hypo	False
chr1	1085580	0.5001449301265826	0.0335062277858503	0.0	0.0	28.571428571428573	hyper	cg11811960	0.291407812955191	1.1925695531099e-08	hyper	True
chr1	1234367	0.5136665612393895	0.0481522342287082	0.0	10.0	28.571428571428573	hyper	cg22675767	-0.620916681059258	8.812009744869321e-31	hypo	False
chr1	1264265	-0.8629753649869019	0.0085328371820671	54.54545454545455	30.0	7.142857142857143	hypo	cg02625725	0.293592550236302	1.42710419024594e-10	hyper	False
chr1	1609388	-0.5142882454284842	0.0117784391011029	27.272727272727273	0.0	0.0	hypo	cg12655137	0.460106970455736	3.6443271924634804e-19	hyper	False
chr1	1690811	-0.8433146025067858	0.0189048330685924	81.81818181818181	55.0	35.714285714285715	hypo	cg11296110	0.420380916775216	1.13326645668601e-16	hyper	False
chr1	1690840	-0.7475752373862219	0.0380300316691889	81.81818181818181	33.333333333333336	42.857142857142854	hypo	cg03606098	0.711510054648688	1.0246880312609599e-40	hyper	False
chr1	1846615	-0.6986176074950243	0.0460339288332441	59.09090909090909	30.0	21.428571428571427	hypo	cg24188976	-0.331022328987286	6.2577780696042e-09	hypo	True
chr1	2071402	0.3818695131513404	0.0497338155085005	0.0	5.0	21.428571428571427	hyper	cg08510499	0.285752479720595	2.98193376027119e-11	hyper	True
chr1	2162893	-0.5225773679497451	0.0210083412078132	28.78787878787879	15.0	0.0	hypo	cg11769062	0.439637249418182	2.8112013968058703e-17	hyper	False
chr1	2220317	-0.6789568450149085	0.0034880043551856	36.36363636363637	5.0	0.0	hypo	cg03466562	0.401452937532548	4.84177506562448e-14	hyper	False
chr1	2357295	0.9133576878114408	0.0026965197942969	9.090909090909092	31.666666666666668	59.52380952380952	hyper	cg02952012	-0.302542680143261	9.97180006564097e-12	hypo	False
chr1	2382583	-0.8302268551509511	0.0184374863670196	63.63636363636363	50.0	17.261904761904763	hypo	cg12140755	-0.338074749990951	4.45984151594287e-14	hypo	True
chr1	2804835	-0.685717660571312	0.0002373429316726	36.36363636363637	0.0	0.0	hypo	cg21691065	0.26162308741082	6.62818820060112e-10	hyper	False
chr1	2840240	-0.9293401521727472	0.0004539516622254	50.0	10.0	0.0	hypo	cg20608032	0.284029417196927	1.78706844997579e-10	hyper	False
chr1	2919785	-0.7708106839536315	0.0333363398108023	63.63636363636363	40.0	21.428571428571427	hypo	cg07099084	0.241430528379368	1.62480882806262e-08	hyper	False
chr1	2978330	-0.8565253915250455	0.0159471355820751	68.18181818181819	40.0	21.428571428571427	hypo	cg23104590	0.447450996103341	5.00569931255213e-14	hyper	False
chr1	2983056	-0.96252254576567	0.0054114853621402	72.72727272727273	25.0	21.428571428571427	hypo	cg12524640	0.903735163261989	2.61499281446836e-62	hyper	False
chr1	3047677	-0.7969214198956035	0.028405357091896	72.72727272727273	55.0	28.571428571428573	hypo	cg12394168	0.569099199028327	4.14900369974456e-31	hyper	False
chr1	3099233	-0.9301043056551764	0.006346140578169	75.75757575757576	45.0	25.0	hypo	cg15090440	0.467533620175201	7.829408675690181e-25	hyper	False
chr1	3099804	-0.6915459498440737	0.0200964477834434	45.45454545454545	30.0	7.142857142857143	hypo	cg13393782	0.858654484453816	3.162342709685e-41	hyper	False
chr1	3223607	-0.850230839110463	0.0090256914709194	63.63636363636363	27.5	17.857142857142858	hypo	cg12648819	0.228316877139801	2.86830019842576e-08	hyper	False
chr1	3236688	-0.6469012540147199	0.0253919494702357	46.96969696969697	22.5	11.904761904761902	hypo	cg13875033	0.816272846508048	3.157396144139749e-40	hyper	False
chr1	3358203	0.7311135581291552	0.0308984648657431	22.727272727272727	10.0	65.47619047619048	hyper	cg26551003	-0.330375037370321	1.57392787459855e-14	hypo	False
chr1	3807168	-0.7646715525863226	0.0009823352111958	40.90909090909091	5.0	0.0	hypo	cg16349667	-0.468019953222424	6.88449976098885e-24	hypo	True
chr1	4023744	-0.8500754180631894	0.0201783597912765	81.81818181818181	50.0	35.714285714285715	hypo	cg06422383	0.334217797249365	3.68930504629539e-13	hyper	False
chr1	4856487	-0.6983067654004773	0.0240671738458193	45.45454545454545	25.0	7.142857142857143	hypo	cg11408632	-0.264571890458358	3.08396987731738e-10	hypo	True
chr1	5462830	-0.7154030806005779	0.0285342127038571	54.54545454545455	46.66666666666667	14.285714285714286	hypo	cg21335761	0.558137680800456	5.33024172286186e-32	hyper	False
chr1	5875339	0.5304131790831245	0.0380875378325561	6.818181818181818	25.0	35.714285714285715	hyper	cg10823805	0.23361004830332	5.76191259947033e-10	hyper	True
chr1	6086035	-0.5142882454284842	0.0117784391011029	27.272727272727273	0.0	0.0	hypo	cg16495328	-0.34370948785938	1.977588218451e-12	hypo	True
chr1	6105324	-0.5703563882324506	0.0440505585598563	40.90909090909091	10.0	10.714285714285714	hypo	cg00352913	-0.666432318302679	2.17930759212168e-16	hypo	True
chr1	6232270	-1.5108998075628397	2.6665671976749103e-06	96.96969696969698	50.0	14.285714285714286	hypo	cg23714370	-0.439198373496283	1.17174317181329e-13	hypo	True
chr1	6341140	-0.7649823946808699	0.0169303058335057	54.54545454545455	10.0	14.285714285714286	hypo	cg13066938	0.514375876490102	5.38602335250797e-22	hyper	False
chr1	6638504	0.7438062769898361	0.0272609871873526	42.42424242424243	16.666666666666668	86.90476190476191	hyper	cg02954884	-0.667979064839436	3.3693801613384e-21	hypo	False
chr1	6928587	0.7614465658553946	0.0275911277837617	27.272727272727273	65.0	67.85714285714286	hyper	cg15994332	0.638810091904969	1.50157230214018e-54	hyper	True
chr1	7705756	-0.42857353785707	0.0161636022267264	22.727272727272727	0.0	0.0	hypo	cg23889047	0.98699067549184	2.78063757505014e-43	hyper	False
chr1	8271997	-0.6043029353078021	0.0179630290883474	39.3939393939394	10.0	7.142857142857143	hypo	cg02847588	0.841343142941043	3.1058026223419804e-17	hyper	False
chr1	8933118	0.7591929606699267	0.0209379756870701	10.606060606060607	46.66666666666667	51.1904761904762	hyper	cg16627087	-0.509609635421641	2.84975793954279e-23	hypo	False
chr1	9139306	-0.7194958348454507	0.0492920070954803	69.6969696969697	70.0	28.571428571428573	hypo	cg23837625	-0.421318665496657	7.80167013747907e-14	hypo	True
chr1	9748229	-0.6589852404402456	0.041334009727382	50.0	25.0	14.285714285714286	hypo	cg08201721	-0.365085571305062	1.86259380315962e-14	hypo	True
chr1	9788715	-0.9573742235747305	0.0066438148744968	81.81818181818181	40.0	30.357142857142858	hypo	cg07499142	-0.671804134220949	1.5283124001897301e-21	hypo	True
