chrom	position	cpg_set	tissue	state_raw	state_group	input_set
chr1	22920119	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	CGI
chr1	27677072	concordant	Blood_PBMC	4_Tx	Tran- scription	CGI
chr1	29189655	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr1	35586453	concordant	Blood_PBMC	7_Enh	Enhancer	CGI
chr1	38227381	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	CGI
chr1	45189875	concordant	Blood_PBMC	7_Enh	Enhancer	CGI
chr1	53925299	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr1	53925306	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr1	79472532	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr1	156830284	concordant	Blood_PBMC	11_BivFlnk	Bivalent	CGI
chr1	230415547	concordant	Blood_PBMC	4_Tx	Tran- scription	CGI
chr1	230415668	concordant	Blood_PBMC	4_Tx	Tran- scription	CGI
chr10	81967272	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr10	81967281	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr10	81967284	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr10	94180753	concordant	Blood_PBMC	10_TssBiv	Bivalent	CGI
chr10	102746534	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	CGI
chr10	118885753	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	CGI
chr10	134853084	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr11	60414767	concordant	Blood_PBMC	15_Quies	Quiescent	CGI
chr11	64533623	concordant	Blood_PBMC	4_Tx	Tran- scription	CGI
chr11	64621386	concordant	Blood_PBMC	6_EnhG	Enhancer	CGI
chr11	64662577	concordant	Blood_PBMC	4_Tx	Tran- scription	CGI
chr11	65315030	concordant	Blood_PBMC	3_TxFlnk	Tran- scription	CGI
chr11	78614359	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	CGI
chr11	121028592	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	CGI
chr11	134257429	concordant	Blood_PBMC	7_Enh	Enhancer	CGI
chr12	5019024	concordant	Blood_PBMC	11_BivFlnk	Bivalent	CGI
chr12	48399295	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	CGI
